rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	400	0.00016934978	0.0590708	0.0091096537	0.065934097	0.010639215	1	1	1	1	1	1	1	1	1.054221	0.58470932	0.18930394	0.11644945	0.50820186	1.0660939
2	400	0.00030315515	0.046366777	0.0042334073	0.043228135	0.0040039007	1	1	1	1	1	1	1	1	1.0881963	0.43932366	0.18053744	0.095329987	0.74308418	0.97769658
3	400	0.00030315515	0.056064922	0.0021861303	0.058887178	0.0033877339	1	1	1	1	0	1	1	1	1.0297685	0.4099211	0.20409809	0.063055979	0.78000192	0.99147289
4	400	0.00016934978	0.02065428	0.0014758537	0.035538868	0.0014595322	1	1	1	1	1	1	1	1	1.3560089	0.48983012	0.22456806	0.098885606	0.60552647	1.0329117
5	400	2.2064976e-05	0.22436991	0.0079732942	0.22480257	0.0087356119	0	1	1	1	1	1	1	1	1.8318544	0.68985413	0.31740824	0.17952958	0.80534601	1.0181921
6	400	7.070728e-05	0.033664021	0.0051657368	0.044218074	0.0059872008	1	1	1	1	1	1	1	1	1.4331286	0.49057423	0.26116617	0.098034547	0.7141182	0.86953042
7	400	0.00030315515	0.030581275	0.01740806	0.063747409	0.017411489	1	1	1	1	1	0	1	0	1.1652392	0.41013756	0.20017334	0.078025407	0.37435695	0.91207824
8	400	9.4602866e-05	0.015331023	0.0031274214	0.015908457	0.0050549669	1	1	1	1	1	1	1	1	1.2339857	0.51638514	0.21487157	0.093301305	0.54613708	1.0308831
9	400	0.00030315515	0.011252404	0.00373652	0.018656692	0.0035208473	1	1	1	1	1	1	1	1	1.2067667	0.44227922	0.23342223	0.10059753	0.50160752	1.0257064
10	400	0.00022658168	0.047807537	0.01358404	0.044180177	0.012285707	1	1	1	1	1	1	1	1	1.3440164	0.46793673	0.19492475	0.081005025	0.54705921	0.95517883
11	400	9.4602866e-05	0.049955431	0.019613227	0.081911093	0.022951061	1	1	1	1	1	1	1	1	1.5145852	0.5467332	0.23455563	0.094046117	0.92110058	0.85947854
12	400	0.00022658168	0.029762497	0.010185562	0.041183161	0.011231462	1	1	1	1	1	1	1	1	1.2754537	0.44746825	0.20289349	0.082237308	0.51020465	0.91540057
13	400	0.00030315515	0.018269668	0.018165219	0.013977428	0.020246221	1	1	1	1	1	1	1	1	1.1512631	0.48261087	0.18481984	0.084813695	0.65484695	0.91036628
14	400	0.0004056067	0.044812309	0.015968479	0.054241326	0.014044912	1	1	1	1	1	0	1	0	0.98737837	0.47728021	0.19344574	0.10042702	0.73784127	0.96444037
15	400	0.0004056067	0.022580802	0.0083889656	0.033618071	0.0094501346	1	1	1	1	1	1	1	1	0.95001011	0.43960702	0.17848816	0.072115452	0.35072329	0.88421758
16	400	0.00072608164	0.023826131	0.0070309736	0.069602699	0.0062408184	1	1	1	1	1	1	1	1	0.91764286	0.35125621	0.13906083	0.071463861	0.455554	0.97780275
