rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	200	2.8748971e-06	0.079957376	0.0038723642	0.065649109	0.0036845795	1	1	1	1	1	1	1	1	1.4523651	0.41677493	0.14991103	0.056232139	0.5445875	1.0712158
2	200	2.1487315e-06	0.041124086	0.0055024827	0.040037088	0.0070346721	1	1	1	1	1	1	1	0	1.5610488	0.42760139	0.43947684	0.082546249	0.64574408	0.95423758
3	200	2.1487315e-06	0.036014729	0.0083228456	0.038742425	0.0085802222	1	0	1	1	1	1	1	1	1.4100831	0.3794324	0.13984808	0.10482505	0.35524254	1.1810385
4	200	1.522998e-08	0.066488381	0.011291158	0.074786427	0.013502449	0	1	1	1	1	0	1	0	1.6054041	0.43801639	0.18019768	0.080796971	0.43561004	1.1532755
5	200	3.7457703e-07	0.11652042	0.014901593	0.093218036	0.014932451	1	1	1	0	1	1	1	0	1.4451461	0.4270532	0.27103802	0.056921647	0.71784838	1.1515338
6	200	1.522998e-08	0.31896427	0.015389583	0.30007346	0.018122193	1	0	1	1	1	1	0	0	1.5916488	0.49792534	0.20663636	0.076136017	0.89083507	1.0424258
7	200	2.0376965e-08	0.12005477	0.013511335	0.15186782	0.015877062	1	1	1	1	1	0	1	0	1.755326	0.5299915	0.34280687	0.090620969	0.0088481846	1.0498718
8	200	1.1689084e-07	0.11344606	0.0042330845	0.12231347	0.0049985318	1	1	1	1	1	1	1	0	1.3848487	0.41680229	0.22979196	0.097050441	0.37057924	0.90725935
9	200	3.647706e-08	0.050046427	0.0064235889	0.042780268	0.0082277255	1	0	1	1	1	0	1	0	1.405456	0.41167792	0.14453314	0.04687257	0.54183258	1.0438824
10	200	1.522998e-08	0.16013705	0.0091174433	0.1731533	0.011347072	1	1	0	1	0	0	0	0	1.4710629	0.40507768	0.29832854	0.056968397	-0.20220509	1.0533317
11	200	6.5298041e-08	0.065289229	0.0064094513	0.082981292	0.0072816728	1	0	1	1	1	1	0	0	1.1262621	0.35813206	0.14285067	0.051921842	0.31676813	0.94042225
12	200	6.7053504e-07	0.065731004	0.0060899238	0.05906064	0.0073272159	1	1	1	1	1	1	1	0	1.3597869	0.4950205	0.20736405	0.067066393	0.47395428	1.0321331
13	200	2.0376965e-08	0.15626632	0.0089516626	0.14333401	0.012794642	1	1	1	1	1	1	0	0	1.5937841	0.46488193	0.21611869	0.067183681	0.4752259	0.94202384
14	200	6.8856161e-06	0.070206571	0.002230729	0.09677962	0.0030771375	1	1	1	1	0	1	1	1	1.2739981	0.4894082	0.26135751	0.064170983	0.46197005	0.99546923
15	200	5.0116567e-07	0.029651938	0.0037125445	0.043756151	0.0044099782	1	0	1	1	1	1	1	1	1.4068517	0.40073161	0.21210092	0.06154593	0.31414469	1.0509436
16	200	9.212616e-06	0.066153324	0.0059149302	0.044001478	0.0068935451	1	1	1	1	1	1	1	1	1.4220931	0.43950115	0.24680249	0.085290935	0.73865737	1.1162447
17	200	2.7263377e-08	0.095681908	0.0073666687	0.09216537	0.008864672	1	0	1	1	1	1	0	0	1.469829	0.43670029	0.2613253	0.041329769	0.80593801	0.96407525
18	200	2.0376965e-08	0.067611655	0.0071327731	0.10364693	0.008893071	1	1	1	1	1	1	0	1	1.420686	0.45804007	0.21001749	0.059282584	0.45100714	1.0570048
19	200	3.647706e-08	0.083314749	0.0099484596	0.094481266	0.010754168	1	1	1	1	1	0	1	0	1.4182748	0.43948596	0.22031716	0.039137984	0.42595254	0.99734492
20	200	1.563942e-07	0.082203836	0.0086647126	0.085513445	0.0083239704	1	1	1	1	1	0	1	1	1.4877275	0.51844446	0.26059113	0.051917563	0.79807956	1.0704051
21	200	4.8804514e-08	0.039667993	0.0090242878	0.039651623	0.009770997	1	1	1	1	1	0	1	1	1.5287391	0.50322771	0.22493892	0.082159776	0.53295995	0.99124946
22	200	3.8464711e-06	0.010451494	0.0043481706	0.012365321	0.0036609039	1	1	1	1	1	1	1	1	1.2931443	0.44299267	0.22165844	0.066487258	0.4534344	1.0331632
23	200	1.522998e-08	0.083460568	0.01334586	0.10688937	0.015512215	1	1	1	1	1	0	1	0	1.4605505	0.45149121	0.18379755	0.043091371	0.82786422	1.0567835
24	200	2.7996322e-07	0.049982821	0.0053258687	0.062815374	0.0054237141	1	1	1	1	1	1	1	1	1.3994349	0.45820949	0.22858757	0.049988191	0.82024676	0.95025267
25	200	1.2003332e-06	0.027916658	0.0040424287	0.028943494	0.0037595496	1	1	1	1	1	1	1	1	1.3168048	0.44196958	0.17355891	0.04602216	0.52262922	1.0462149
26	200	6.7053504e-07	0.02240042	0.0035830161	0.015924925	0.0051536071	1	1	1	1	1	1	1	1	1.4672995	0.48065322	0.19171934	0.04981689	0.61629653	1.0129549
27	200	1.2326028e-05	0.024219626	0.0016021434	0.017470152	0.0035153614	1	1	1	1	1	1	1	1	1.5341392	0.46844466	0.22008578	0.058258295	0.68409009	1.0882388
28	200	2.8748971e-06	0.02747813	0.0034144549	0.032540905	0.0034180228	1	1	1	1	1	1	1	1	1.1348713	0.43403562	0.20480233	0.082436753	0.39844285	0.96207246
29	200	3.8464711e-06	0.029796581	0.0065484381	0.035617755	0.0063239296	1	1	1	1	1	1	1	0	1.4978556	0.36366903	0.17831744	0.05494489	0.40563832	1.0814616
30	200	5.1463893e-06	0.035193829	0.0010160713	0.024545351	0.001488065	1	1	1	1	1	1	1	1	1.2946475	0.34310273	0.21969512	0.05731636	0.56958713	1.0542665
31	200	3.647706e-08	0.031381645	0.0069601809	0.0455353	0.0090095271	1	1	1	1	1	1	1	0	1.4552552	0.3752585	0.15246826	0.036733445	0.38032686	1.0412525
32	200	8.9714294e-07	0.027559724	0.0049797056	0.033177463	0.0047069763	1	1	1	1	1	1	1	1	1.3153688	0.39473088	0.24349124	0.0434512	0.61997387	1.0273773
33	200	1.1689084e-07	0.095532992	0.0084447909	0.096283525	0.0088986183	1	1	0	0	1	1	1	1	1.5956196	0.50876735	0.33803725	0.070376942	-0.19311458	1.1444105
34	200	8.9714294e-07	0.050603062	0.0038275865	0.057052996	0.0039362099	1	1	1	1	1	1	1	1	1.0918082	0.40081837	0.15217858	0.04044919	0.56750673	1.0096282
35	200	1.522998e-08	0.17888006	0.0077245051	0.15435104	0.011760577	1	1	1	1	1	0	1	0	1.6279461	0.47108175	0.25836568	0.088330553	0.84386654	1.121287
36	200	2.8748971e-06	0.04666691	0.0012190278	0.047215172	0.0012027427	1	1	1	1	1	1	1	1	0.87335946	0.39349062	0.11855169	0.048917031	0.61702345	1.0083737
37	200	3.8464711e-06	0.022976703	0.0047214127	0.030120207	0.0046789342	1	1	1	1	1	1	1	1	1.1356732	0.40596626	0.2678797	0.075868997	0.34231979	1.0584458
38	200	6.8856161e-06	0.081278566	0.003803089	0.076938215	0.0044478563	1	1	1	0	1	1	1	1	1.494334	0.47045583	0.29867763	0.042880776	0.56002486	1.0945519
39	200	1.6059868e-06	0.04050731	0.0081826037	0.050647706	0.008070489	1	1	1	1	1	0	1	1	1.2116523	0.42923547	0.26555779	0.08142465	0.92822093	1.0658689
40	200	3.7457703e-07	0.088001026	0.010544474	0.12257558	0.0084428184	1	1	1	1	1	1	1	0	1.3088868	0.44429095	0.28724369	0.049344873	0.36716016	1.057486
41	200	3.8464711e-06	0.078678664	0.0073096854	0.062151265	0.0060035344	1	1	1	1	1	1	1	1	1.3283999	0.54027295	0.15492025	0.10433572	0.76701892	1.115792
42	200	2.8748971e-06	0.052254365	0.0084865498	0.059609838	0.0068673678	1	1	1	1	1	1	1	1	1.2946136	0.45990175	0.26995646	0.074589568	0.22573193	0.93856651
43	200	5.1463893e-06	0.081048526	0.0026021762	0.058514716	0.0030600872	0	1	1	1	1	1	0	1	1.1040714	0.39399511	0.12791786	0.043523463	0.78654467	0.97259535
