rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	400	0.0092461845	0.059278125	0.0061652977	0.064707346	0.0092465272	1	1	1	1	1	1	1	1	1.1542319	0.8049116	0.20187135	0.16399656	0.58407537	0.96103554
2	400	0.013517131	0.11996617	0.0045290965	0.082238523	0.0073738932	1	1	1	1	1	1	1	1	1.0665289	0.65716685	0.14359693	0.14306919	0.81691799	0.96214454
3	400	0.01117953	0.10237022	0.0073539269	0.081963025	0.011128763	1	1	1	1	0	1	1	1	1.0661715	0.66591737	0.21286646	0.12183121	0.87051084	0.97147935
4	400	0.0092461845	0.067947335	0.0051169807	0.050464754	0.0055502968	1	1	1	1	1	1	1	1	1.2897142	0.71731097	0.21816367	0.14950861	0.65587637	0.98270158
5	400	0.023892822	0.14390956	0.0084685212	0.18907654	0.0079237828	0	1	0	1	0	1	0	1	0.9974486	0.56793202	0.16742909	0.13500505	0.9220948	0.92011455
6	400	0.0092461845	0.056834101	0.0053303792	0.038015684	0.0067205628	1	1	1	1	1	1	1	1	1.2673923	0.6659408	0.2095882	0.11734694	0.84907634	0.92390232
7	400	0.01117953	0.080393262	0.024398941	0.078322953	0.026343236	0	1	1	1	1	1	1	1	1.2128991	0.65630734	0.18876787	0.13883374	0.5344497	0.86654748
8	400	0.0035781428	0.071551204	0.0063502077	0.069515678	0.011943026	1	1	1	1	1	1	1	1	1.4239382	0.78160201	0.26870309	0.17971358	0.51428623	1.0601543
9	400	0.0076471846	0.02654107	0.011406703	0.02648389	0.012906342	1	1	1	1	1	1	1	1	1.3576387	0.7249765	0.26386888	0.14153579	0.42053073	1.0979156
10	400	0.01117953	0.063730899	0.0092319055	0.057245878	0.0089667438	1	1	1	1	1	1	1	1	1.371453	0.66216683	0.22231968	0.13983678	0.46728542	0.91057285
11	400	0.0063247097	0.1179952	0.014689524	0.089342411	0.022060277	1	1	0	1	1	1	1	1	1.4015459	0.7343591	0.21748607	0.11630612	1.045726	0.92293256
12	400	0.0076471846	0.038217836	0.013041009	0.037555566	0.015184449	1	1	1	1	1	1	1	1	1.3161866	0.74382974	0.21561467	0.133005	0.71627016	0.84258688
13	400	0.0029593524	0.061832052	0.018557414	0.087501975	0.022967317	1	1	1	1	1	1	0	1	1.4026874	0.83539874	0.23504353	0.14406058	0.46466452	1.0697498
14	400	0.013517131	0.11041388	0.014820084	0.088505455	0.021009691	1	1	1	1	1	0	1	0	1.0972323	0.73075316	0.19753749	0.15481341	0.93019168	1.1051883
15	400	0.01117953	0.041448666	0.019403504	0.035672965	0.019313047	1	1	1	1	1	1	1	1	1.0657756	0.70729932	0.20015486	0.14352782	0.57297794	0.83874123
16	400	0.01117953	0.051338999	0.0096677091	0.048825764	0.010067398	1	1	1	1	1	1	1	0	1.0396083	0.61590391	0.18531753	0.1144278	0.76845031	0.91568062
17	400	0.01117953	0.13463961	0.0053450675	0.12271421	0.0076003103	1	1	1	1	1	1	1	1	1.0817593	0.61160814	0.1644449	0.13792275	0.75145638	1.0275357
18	400	0.019760888	0.18535145	0.022045337	0.1282326	0.030631798	1	1	1	1	1	0	0	1	1.0959883	0.71895071	0.21246994	0.1415821	0.82755779	0.84340929
19	400	0.0092461845	0.03624771	0.012170581	0.041424006	0.012445697	1	1	1	1	1	1	1	1	1.2079808	0.67727955	0.19107928	0.14877264	0.54229894	0.82309935
20	400	0.051063591	0.12856741	0.0074271776	0.10917894	0.011682453	1	1	0	1	0	1	0	1	0.76779567	0.47408443	0.11739495	0.082179116	0.8958372	1.0526582
21	400	0.0063247097	0.0358243	0.0040768842	0.021659368	0.0076062633	1	1	1	1	1	1	1	1	1.2836321	0.74775901	0.248497	0.12307651	0.45714031	1.0570926
22	400	0.01117953	0.031295841	0.0056035675	0.039722825	0.0064436103	1	1	1	1	1	1	1	1	1.1861544	0.63399996	0.20046187	0.10491548	0.44765603	1.0152701
23	400	0.019760888	0.070404134	0.0065355723	0.0568069	0.0077705075	0	1	1	1	1	1	1	1	1.0454447	0.59132441	0.11980405	0.08446717	0.72639673	0.92959383
24	400	0.0076471846	0.065232275	0.009593877	0.098723995	0.012744298	1	1	0	1	1	1	0	0	1.226102	0.65999255	0.19335579	0.15005412	0.12965719	1.0422901
25	400	0.016343516	0.064311362	0.013883303	0.052456805	0.013541016	1	1	1	1	1	1	1	1	1.1476545	0.63628995	0.22866814	0.14034022	0.63042375	0.8785811
26	400	0.0063247097	0.045039932	0.014573389	0.062660325	0.01480839	1	1	1	1	1	1	1	1	1.4511673	0.64398523	0.19733479	0.099954859	0.44319698	0.92741627
27	400	0.0013846907	0.085785444	0.01430476	0.09028107	0.016366427	1	1	0	1	1	1	1	1	1.70313	0.87798645	0.27586435	0.1691888	1.2410558	1.0440194
28	400	0.0063247097	0.02188557	0.010417698	0.021386408	0.015031826	1	0	1	1	1	1	1	1	1.4121156	0.72939121	0.24113135	0.12259572	0.78239789	0.87360533
29	400	0.01117953	0.076581734	0.0067599082	0.053662013	0.012531177	1	1	1	1	1	1	1	1	1.2205135	0.64276709	0.17973158	0.13100551	0.82850939	1.0316683
30	400	0.016343516	0.048965273	0.0055900342	0.035246764	0.0078288335	1	1	1	1	1	1	1	1	1.0793202	0.55194066	0.1639811	0.11154258	0.49585773	0.96871371
31	400	0.0063247097	0.048718163	0.0081780933	0.036286335	0.014853241	1	1	1	1	1	1	1	1	1.4210546	0.71216662	0.25339784	0.13674809	0.85184353	1.236171
32	400	0.0052309386	0.039130316	0.0070781846	0.033748243	0.011680686	1	1	1	1	1	1	1	1	1.2619572	0.76399972	0.1916684	0.14939552	0.68501244	1.1381793
33	400	0.0063247097	0.066855735	0.0069219179	0.064136568	0.010283266	1	1	1	1	1	1	1	1	1.2052099	0.71015693	0.19415173	0.15560804	0.81714326	1.078272
34	400	0.0092461845	0.07154695	0.0082868348	0.043900638	0.009619534	1	1	1	1	1	1	1	1	1.1366323	0.66644872	0.16734502	0.11641915	0.71174308	0.89697559
35	400	0.023892822	0.1416917	0.017286316	0.10219739	0.025814616	1	0	1	1	1	1	0	0	1.046179	0.60798061	0.1659356	0.15926308	0.81502187	0.74619041
36	400	0.0076471846	0.075664438	0.0064152947	0.048265434	0.0071835612	1	1	1	1	1	1	1	1	1.2902527	0.70243804	0.20459376	0.14430998	0.8145187	0.98837667
37	400	0.0052309386	0.057010328	0.012144678	0.098966987	0.011296219	1	1	1	1	1	1	1	1	1.5012587	0.74453411	0.28604863	0.11102243	0.40601808	1.0939631
38	400	0.016343516	0.074185006	0.0077144126	0.097915265	0.0094895202	1	1	1	1	0	1	0	1	0.96262727	0.61648884	0.16830928	0.11253493	0.65445759	1.090852
39	400	0.0063247097	0.088788449	0.012765397	0.07488382	0.015542277	1	1	1	1	1	1	1	0	1.2619422	0.61173665	0.17199056	0.12365605	0.77674719	0.87790789
40	400	0.013517131	0.16566373	0.0070741252	0.14756332	0.0083774754	1	1	1	1	1	1	0	1	1.1305928	0.62339615	0.19274071	0.14268302	0.79355924	0.87872606
41	400	0.0063247097	0.11319691	0.0092731667	0.091387483	0.018170764	1	1	1	1	1	1	1	1	1.3491083	0.73821669	0.24068233	0.14456674	0.90060377	1.0987487
42	400	0.0076471846	0.14696996	0.0093096072	0.099773014	0.0097664954	1	1	1	1	1	1	1	1	1.236144	0.72820386	0.20981989	0.13863724	0.54656134	0.98580954
43	400	0.0076471846	0.030482041	0.011595272	0.022800795	0.016444951	1	1	1	1	1	1	1	1	1.3932246	0.70512851	0.23968022	0.13241604	0.58371386	0.74475617
44	400	0.00432632	0.024166287	0.0057887669	0.022907379	0.0087657899	1	1	1	1	1	1	1	1	1.3138031	0.66893372	0.22257102	0.11886947	0.58778084	1.1466592
45	400	0.01117953	0.11188603	0.013061383	0.10573152	0.016066028	1	1	1	1	1	1	1	1	1.0498981	0.67609142	0.16534423	0.1491394	0.82179197	0.80714116
