rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	200	9.7028449e-05	0.036273201	0.0052002207	0.02465171	0.0080252464	1	1	1	1	1	0	1	0	1.0298905	0.41098951	0.1515775	0.06372238	0.6730612	1.1044689
2	200	4.539993e-05	0.027424263	0.0097789525	0.047900878	0.01482587	0	0	1	1	1	0	0	0	0.97279807	0.40425597	0.14013839	0.056821476	0.4230426	1.0655555
3	200	0.00025072866	0.052566	0.0063690082	0.036722558	0.0067795256	1	0	1	0	1	1	1	0	0.79231877	0.37827927	0.13319746	0.089768534	0.45208209	1.212306
4	200	9.7028449e-05	0.078023933	0.0094773933	0.059203742	0.012126983	1	1	1	1	1	0	0	0	1.0176542	0.38497268	0.12418473	0.070012377	0.50646216	1.0859471
5	200	0.00064790132	0.10489197	0.013156296	0.074801067	0.013251362	1	1	1	0	1	1	1	0	0.95296532	0.3730477	0.16506287	0.049073601	0.82278768	1.1262111
6	200	0.00011731676	0.16605325	0.013033412	0.16412644	0.013073687	1	0	0	1	1	0	0	0	0.93568354	0.42498265	0.13850603	0.060916904	0.88975572	1.0768103
7	200	8.024872e-05	0.03494839	0.010461261	0.044548341	0.012520622	1	1	1	1	1	0	1	0	1.089965	0.46709536	0.22525969	0.12667274	0.2879526	0.9495649
8	200	0.00025072866	0.079617066	0.0067789295	0.072766811	0.005820299	1	0	1	1	1	1	1	0	0.91611305	0.38546548	0.16182102	0.087174123	0.34015937	0.93033962
9	200	0.00025072866	0.039226942	0.0044154501	0.033644719	0.0060585243	1	0	1	1	0	0	1	0	0.76279118	0.35374233	0.10615559	0.039172351	0.51270657	1.0573641
10	200	6.6370813e-05	0.080653726	0.0080049959	0.10231034	0.011801877	1	1	0	1	0	0	0	0	0.97303045	0.38261606	0.19990921	0.052155065	-0.027587161	1.0572752
11	200	4.539993e-05	0.052600942	0.0086909212	0.064302969	0.012196151	1	0	0	0	1	0	0	0	0.85344477	0.35013914	0.11535353	0.033545389	0.30430327	0.87991316
12	200	0.00030315515	0.055207557	0.0048597643	0.040681142	0.005785847	1	1	1	1	1	1	1	0	0.96622155	0.44611452	0.14864468	0.068530265	0.594714	1.0603807
13	200	9.7028449e-05	0.093446366	0.0073517618	0.076626302	0.011472022	1	1	1	1	0	1	0	0	0.96785859	0.40503633	0.1317553	0.048603075	0.62069138	0.96290844
14	200	0.00025072866	0.12986999	0.0031188121	0.097747409	0.0036194768	1	1	1	1	0	1	1	0	0.85571769	0.42032497	0.13626536	0.044503982	0.43282047	0.91643266
15	200	0.0004431869	0.077724879	0.0033057327	0.053367591	0.0045684894	1	1	1	1	0	1	1	1	0.93286881	0.37190799	0.14013108	0.068538739	0.52262482	1.0354107
16	200	0.00014184729	0.040181267	0.0049368917	0.021550652	0.0065088463	1	1	1	1	0	1	1	0	0.90816682	0.41470393	0.1248874	0.058484292	0.63846512	1.0388477
17	200	8.024872e-05	0.040111973	0.0068527407	0.037490759	0.010182577	1	0	1	1	1	1	0	0	0.93856502	0.3880824	0.1647946	0.037894045	0.756718	0.97208843
18	200	0.00011731676	0.019784067	0.005208234	0.017083325	0.0071599675	1	0	1	1	1	1	1	0	0.93055571	0.41084807	0.13995688	0.039134936	0.58521705	1.065409
19	200	8.024872e-05	0.029895633	0.0093588871	0.041223037	0.012043289	1	1	1	1	1	0	0	0	0.96206216	0.41495316	0.15775273	0.031359702	0.43381259	0.99277425
20	200	9.7028449e-05	0.046357177	0.0060938331	0.057675711	0.0087390547	1	1	1	1	0	0	0	0	1.011642	0.44419009	0.20345176	0.045798337	0.67600398	1.0111319
21	200	0.0002073686	0.061249555	0.0065384169	0.033290826	0.0068363183	1	1	1	1	1	0	1	0	0.91465889	0.42627759	0.1425926	0.062682265	0.50827898	0.95354508
22	200	0.00025072866	0.039982603	0.0038847361	0.022920241	0.0046359728	1	1	1	1	1	1	1	0	0.85483283	0.39669311	0.15957348	0.065996458	0.50541934	0.98905493
23	200	8.024872e-05	0.026803878	0.0085119363	0.031828967	0.011545642	1	1	1	1	1	0	1	0	0.89794825	0.38480006	0.12518226	0.041859596	0.75592402	1.0560799
